title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"U.S. Marshals",movie,"Action, Crime, Thriller",1998,tt0120873,6.6,118058,
"The Sweetest Thing",movie,"Comedy, Romance",2002,tt0253867,5.2,64509,
"Mona Lisa Smile",movie,Drama,2003,tt0304415,6.6,96101,
"The SpongeBob SquarePants Movie",movie,"Adventure, Animation, Comedy",2004,tt0345950,7.2,108372,
"Ju-on: The Grudge",movie,Horror,2002,tt0364385,6.7,50585,
"The 36th Chamber of Shaolin",movie,"Action, Adventure, Drama",1978,tt0078243,7.6,19477,
Intimacy,movie,"Drama, Romance",2001,tt0256103,6,13713,
"The Accidental Spy",movie,"Action, Comedy, Crime",2001,tt0271946,5.8,19407,
"Kuch Kuch Hota Hai",movie,"Comedy, Drama, Musical",1998,tt0172684,7.5,59924,
Sabrina,movie,"Comedy, Drama, Romance",1995,tt0114319,6.3,46067,
"Big Fat Liar",movie,"Adventure, Comedy, Family",2002,tt0265298,5.5,41981,
